"","ID","Connective","ReactionTime1","ReactionTime2","ReactionTime3","TrialID","Label","Wordform","Answeraccuracy","Truthvalue","Sentenceform","Group","LogReactionTime1"
"86","5fbb9d51c62f40d0969e8095","but",816,813,1090,"T1.28","test","CVC",1,"J","PositivePositive","A",6.70441435496411
"87","5fbb9d51c62f40d0969e8095","and",934,751,1259,"T1.15","test","VCV",1,"F","PositivePositive","A",6.83947643822884
"88","5fbb9d51c62f40d0969e8095","and",924,693,869,"T1.16","test","VCC",1,"J","PositivePositive","A",6.82871207164168
"89","5fbb9d51c62f40d0969e8095","and",823,775,743,"T1.11","test","CVV",1,"F","PositivePositive","A",6.71295620067707
"90","5fbb9d51c62f40d0969e8095","but",754,896,757,"T1.37","test","CVV",1,"F","PositiveNegative","A",6.62539236800796
"91","5fbb9d51c62f40d0969e8095","so",1142,1005,1204,"T1.69","test","CVC",1,"J","PositivePositive","A",7.04053639021596
"92","5fbb9d51c62f40d0969e8095","and",618,1609,628,"T1.12","test","CVV",1,"F","PositivePositive","A",6.42648845745769
"93","5fbb9d51c62f40d0969e8095","but",656,936,781,"T1.47","test","VCC",1,"J","PositivePositive","A",6.48616078894409
"94","5fbb9d51c62f40d0969e8095","so",905,1152,1415,"T1.63","test","VCV",1,"J","PositiveNegative","A",6.80793494369993
"95","5fbb9d51c62f40d0969e8095","but",993,1013,1114,"T1.27","test","CVC",1,"J","PositivePositive","A",6.90073066404517
"96","5fbb9d51c62f40d0969e8095","but",734,881,919,"T1.35","test","CVV",1,"J","PositivePositive","A",6.59850902861452
"97","5fbb9d51c62f40d0969e8095","but",683,1009,1046,"T1.30","test","CVC",1,"F","PositiveNegative","A",6.52649485957079
"98","5fbb9d51c62f40d0969e8095","but",638,756,863,"T1.41","test","VCV",1,"F","PositivePositive","A",6.45833828334479
"99","5fbb9d51c62f40d0969e8095","but",828,805,641,"T1.32","test","CVC",1,"F","PositivePositive","A",6.71901315438526
"100","5fbb9d51c62f40d0969e8095","but",838,663,964,"T1.43","test","VCV",1,"J","PositivePositive","A",6.73101810048208
"101","5fbb9d51c62f40d0969e8095","and",640,770,627,"T1.6","test","CVC",1,"F","PositivePositive","A",6.46146817635372
"102","5fbb9d51c62f40d0969e8095","but",760,934,1246,"T1.46","test","VCC",1,"J","PositiveNegative","A",6.63331843328038
"103","5fbb9d51c62f40d0969e8095","so",938,745,767,"T1.68","test","VCC",1,"J","PositivePositive","A",6.84374994900622
"104","5fbb9d51c62f40d0969e8095","so",594,761,782,"T1.66","test","VCC",1,"F","PositivePositive","A",6.38687931936265
"105","5fbb9d51c62f40d0969e8095","but",754,774,863,"T1.39","test","CVV",1,"F","PositivePositive","A",6.62539236800796
"106","5fbb9d51c62f40d0969e8095","but",606,861,822,"T1.31","test","CVC",1,"F","PositivePositive","A",6.40687998606931
"107","5fbb9d51c62f40d0969e8095","and",1005,922,1536,"T1.3","test","CVC",1,"F","PositiveNegative","A",6.91274282049318
"108","5fbb9d51c62f40d0969e8095","so",902,1106,1248,"T1.53","test","CVC",1,"F","PositiveNegative","A",6.80461452006262
"109","5fbb9d51c62f40d0969e8095","and",828,787,872,"T1.1","test","CVC",1,"J","PositivePositive","A",6.71901315438526
"110","5fbb9d51c62f40d0969e8095","and",655,1351,862,"T1.13","test","VCV",1,"J","PositivePositive","A",6.48463523563525
"111","5fbb9d51c62f40d0969e8095","but",818,1056,1010,"T1.42","test","VCV",1,"J","PositiveNegative","A",6.70686233660275
"112","5fbb9d51c62f40d0969e8095","and",644,998,953,"T1.10","test","CVV",1,"F","PositiveNegative","A",6.46769872610435
"113","5fbb9d51c62f40d0969e8095","so",1233,1534,660,"T1.65","test","VCC",1,"F","PositiveNegative","A",7.11720550316434
"114","5fbb9d51c62f40d0969e8095","and",1253,803,675,"T1.22","test","CVV",1,"J","PositiveNegative","A",7.13329595489607
"115","5fbb9d51c62f40d0969e8095","and",772,932,1106,"T1.20","test","CVC",1,"J","PositiveNegative","A",6.64898455002478
"116","5fbb9d51c62f40d0969e8095","but",814,900,763,"T1.33","test","CVV",1,"J","PositiveNegative","A",6.70196036600254
"117","5fbb9d51c62f40d0969e8095","so",761,798,1006,"T1.57","test","CVV",1,"J","PositiveNegative","A",6.63463335786169
"118","5fbb9d51c62f40d0969e8095","but",783,753,1253,"T1.40","test","CVV",1,"F","PositivePositive","A",6.6631326959908
"119","5fbb9d51c62f40d0969e8095","but",663,1050,897,"T1.29","test","CVC",1,"F","PositiveNegative","A",6.49677499018586
"120","5fbb9d51c62f40d0969e8095","and",692,801,800,"T1.5","test","CVC",1,"F","PositivePositive","A",6.53958595561767
"121","5fbb9d51c62f40d0969e8095","so",858,2951,1365,"T1.61","test","VCV",1,"F","PositiveNegative","A",6.75460409948796
"122","5fbb9d51c62f40d0969e8095","and",800,863,1497,"T1.18","test","VCC",1,"F","PositivePositive","A",6.68461172766793
"123","5fbb9d51c62f40d0969e8095","and",663,883,970,"T1.14","test","VCV",1,"F","PositiveNegative","A",6.49677499018586
"124","5fbb9d51c62f40d0969e8095","but",615,1018,900,"T1.45","test","VCC",1,"F","PositivePositive","A",6.42162226780652
"125","5fbb9d51c62f40d0969e8095","but",612,2170,698,"T1.34","test","CVV",1,"J","PositiveNegative","A",6.41673228251233
"126","5fbb9d51c62f40d0969e8095","and",788,867,1252,"T1.24","test","VCC",1,"J","PositiveNegative","A",6.66949808985788
"127","5fbb9d51c62f40d0969e8095","and",1011,1179,819,"T1.19","test","CVC",1,"J","PositiveNegative","A",6.91869521902047
"128","5fbb9d51c62f40d0969e8095","so",856,790,1015,"T1.70","test","CVC",1,"J","PositivePositive","A",6.75227037614174
"129","5fbb9d51c62f40d0969e8095","so",687,865,637,"T1.71","test","CVV",1,"J","PositivePositive","A",6.53233429222235
"130","5fbb9d51c62f40d0969e8095","and",796,732,556,"T1.7","test","CVV",1,"J","PositivePositive","A",6.67959918584438
"131","5fbb9d51c62f40d0969e8095","so",663,1023,897,"T1.54","test","CVC",1,"F","PositiveNegative","A",6.49677499018586
"132","5fbb9d51c62f40d0969e8095","but",689,883,736,"T1.48","test","VCC",1,"F","PositiveNegative","A",6.53524127101366
"133","5fbb9d51c62f40d0969e8095","but",954,876,687,"T1.38","test","CVV",1,"F","PositiveNegative","A",6.86066367144829
"134","5fbb9d51c62f40d0969e8095","so",606,976,612,"T1.56","test","CVV",1,"F","PositivePositive","A",6.40687998606931
"135","5fbb9d51c62f40d0969e8095","and",746,1459,914,"T1.9","test","CVV",1,"F","PositiveNegative","A",6.61472560020376
"136","5fbb9d51c62f40d0969e8095","so",783,778,618,"T1.50","test","CVC",1,"F","PositivePositive","A",6.6631326959908
"137","5fbb9d51c62f40d0969e8095","and",865,774,1141,"T1.17","test","VCC",1,"F","PositiveNegative","A",6.76272950693188
"138","5fbb9d51c62f40d0969e8095","so",589,1065,638,"T1.59","test","CVV",1,"F","PositiveNegative","A",6.37842618365159
"139","5fbb9d51c62f40d0969e8095","so",1075,1057,678,"T1.62","test","VCV",1,"F","PositivePositive","A",6.98007594056176
"140","5fbb9d51c62f40d0969e8095","so",815,1283,624,"T1.58","test","CVV",1,"J","PositiveNegative","A",6.70318811324086
"141","62a739f23ee5ac5192335098","but",1961,2327,2751,"T1.37","test","CVV",1,"F","PositiveNegative","A",7.58120982619635
"142","62a739f23ee5ac5192335098","and",2628,3023,3217,"T1.14","test","VCV",1,"F","PositiveNegative","A",7.8739783796045
"143","62a739f23ee5ac5192335098","so",1321,2890,2931,"T1.67","test","VCC",1,"J","PositiveNegative","A",7.18614430452233
"144","62a739f23ee5ac5192335098","and",2292,1578,1688,"T1.15","test","VCV",1,"F","PositivePositive","A",7.73718007783463
"145","62a739f23ee5ac5192335098","so",2739,3182,1472,"T1.53","test","CVC",1,"F","PositiveNegative","A",7.91534816926308
"146","62a739f23ee5ac5192335098","and",2049,1960,2812,"T1.20","test","CVC",1,"J","PositiveNegative","A",7.6251071482389
"147","62a739f23ee5ac5192335098","but",953,3548,1810,"T1.31","test","CVC",1,"F","PositivePositive","A",6.8596149036542
"148","62a739f23ee5ac5192335098","but",1284,1289,1643,"T1.47","test","VCC",1,"J","PositivePositive","A",7.15773548424991
"149","62a739f23ee5ac5192335098","and",902,1602,1014,"T1.1","test","CVC",1,"J","PositivePositive","A",6.80461452006262
"150","62a739f23ee5ac5192335098","but",1535,853,964,"T1.30","test","CVC",1,"F","PositiveNegative","A",7.3362856600213
"151","62a739f23ee5ac5192335098","so",1000,1056,842,"T1.72","test","CVV",1,"J","PositivePositive","A",6.90775527898214
"152","62a739f23ee5ac5192335098","and",914,1322,1976,"T1.24","test","VCC",1,"J","PositiveNegative","A",6.81783057145415
"153","62a739f23ee5ac5192335098","and",695,1555,1104,"T1.4","test","CVC",1,"F","PositiveNegative","A",6.54391184556479
"154","62a739f23ee5ac5192335098","but",997,1856,1379,"T1.28","test","CVC",1,"J","PositivePositive","A",6.90475076996184
"155","62a739f23ee5ac5192335098","so",1301,1298,2731,"T1.56","test","CVV",1,"F","PositivePositive","A",7.1708884785125
"156","62a739f23ee5ac5192335098","but",937,2099,1487,"T1.33","test","CVV",1,"J","PositiveNegative","A",6.84268328223842
"157","62a739f23ee5ac5192335098","so",984,615,1822,"T1.52","test","CVC",1,"J","PositiveNegative","A",6.89162589705225
"158","62a739f23ee5ac5192335098","but",866,1442,1484,"T1.41","test","VCV",1,"F","PositivePositive","A",6.76388490856244
"159","62a739f23ee5ac5192335098","and",709,975,1035,"T1.16","test","VCC",1,"J","PositivePositive","A",6.56385552653213
"160","62a739f23ee5ac5192335098","but",813,619,1086,"T1.44","test","VCV",1,"F","PositiveNegative","A",6.70073110954781
"161","62a739f23ee5ac5192335098","and",695,1590,5517,"T1.19","test","CVC",1,"J","PositiveNegative","A",6.54391184556479
"162","62a739f23ee5ac5192335098","and",577,526,1209,"T1.22","test","CVV",1,"J","PositiveNegative","A",6.3578422665081
"163","62a739f23ee5ac5192335098","so",2043,1360,2314,"T1.63","test","VCV",1,"J","PositiveNegative","A",7.62217459481762
"164","62a739f23ee5ac5192335098","so",783,602,1623,"T1.60","test","CVV",1,"F","PositiveNegative","A",6.6631326959908
"165","62a739f23ee5ac5192335098","so",1113,2335,1941,"T1.62","test","VCV",1,"F","PositivePositive","A",7.01481435127554
"166","62a739f23ee5ac5192335098","but",829,349,1183,"T1.48","test","VCC",1,"F","PositiveNegative","A",6.7202201551353
"167","62a739f23ee5ac5192335098","but",892,3492,2948,"T1.26","test","CVC",1,"J","PositiveNegative","A",6.79346613258001
"168","62a739f23ee5ac5192335098","so",1199,601,986,"T1.51","test","CVC",1,"J","PositiveNegative","A",7.08924315502751
"169","62a739f23ee5ac5192335098","but",736,2506,2130,"T1.40","test","CVV",1,"F","PositivePositive","A",6.60123011872888
"170","62a739f23ee5ac5192335098","so",747,503,2089,"T1.66","test","VCC",1,"F","PositivePositive","A",6.61606518513282
"171","62a739f23ee5ac5192335098","and",1407,2475,1603,"T1.13","test","VCV",1,"J","PositivePositive","A",7.24921505711439
"172","62a739f23ee5ac5192335098","but",937,2384,1423,"T1.36","test","CVV",1,"J","PositivePositive","A",6.84268328223842
"173","62a739f23ee5ac5192335098","so",712,1906,959,"T1.54","test","CVC",1,"F","PositiveNegative","A",6.56807791141198
