"","ID","Connective","ReactionTime1","ReactionTime2","ReactionTime3","TrialID","Label","Wordform","Answeraccuracy","Truthvalue","Sentenceform","Group","Order","OrderBinary","OrderTrials","LogReactionTime1"
"74","5f9f366d30ae1a565a704ccc","so",554,632,565,"T2.65","test","CVV",1,"F","PositiveNegative","B","first","first",17,6.31716468674728
"75","5f9f366d30ae1a565a704ccc","and",445,690,1285,"T2.22","test","CVV",1,"J","PositiveNegative","B","first","first",19,6.09807428216624
"76","5f9f366d30ae1a565a704ccc","and",529,568,989,"T2.15","test","CVC",1,"F","PositivePositive","B","first","first",20,6.2709884318583
"77","5f9f366d30ae1a565a704ccc","so",687,728,717,"T2.72","test","CVC",1,"J","PositivePositive","B","first","first",22,6.53233429222235
"78","5f9f366d30ae1a565a704ccc","but",581,655,1269,"T2.29","test","VCC",1,"F","PositiveNegative","B","first","first",23,6.36475075685191
"79","5f9f366d30ae1a565a704ccc","so",436,743,821,"T2.71","test","VCV",1,"J","PositivePositive","B","first","first",25,6.07764224334903
"80","5f9f366d30ae1a565a704ccc","but",522,583,694,"T2.40","test","VCC",1,"F","PositivePositive","B","first","first",26,6.25766758788264
"81","5f9f366d30ae1a565a704ccc","and",562,648,1548,"T2.10","test","CVV",1,"F","PositiveNegative","B","first","first",27,6.33150184989369
"82","5f9f366d30ae1a565a704ccc","and",591,416,797,"T2.12","test","VCC",1,"F","PositivePositive","B","first","first",29,6.3818160174061
"83","5f9f366d30ae1a565a704ccc","so",670,400,565,"T2.69","test","CVV",1,"J","PositivePositive","B","first","first",34,6.50727771238501
"84","5f9f366d30ae1a565a704ccc","and",538,615,981,"T2.9","test","CVC",1,"F","PositiveNegative","B","first","first",35,6.28785856016178
"85","5f9f366d30ae1a565a704ccc","and",507,664,1229,"T2.23","test","CVV",1,"J","PositiveNegative","B","first","first",36,6.22851100359118
"86","5f9f366d30ae1a565a704ccc","but",645,1008,1813,"T2.45","test","CVC",1,"F","PositivePositive","B","first","first",40,6.46925031679577
"87","5f9f366d30ae1a565a704ccc","but",726,479,686,"T2.28","test","VCC",1,"J","PositivePositive","B","first","first",47,6.5875500148248
"88","5f9f366d30ae1a565a704ccc","but",530,607,910,"T2.32","test","CVC",1,"F","PositivePositive","B","first","first",48,6.27287700654617
"89","5f9f366d30ae1a565a704ccc","and",669,785,1278,"T2.21","test","CVC",1,"J","PositiveNegative","B","first","first",49,6.50578406012823
"90","5f9f366d30ae1a565a704ccc","so",754,728,1261,"T2.50","test","CVC",1,"F","PositivePositive","B","first","first",50,6.62539236800796
"91","5f9f366d30ae1a565a704ccc","so",601,584,813,"T2.63","test","CVC",1,"J","PositiveNegative","B","first","first",52,6.39859493453521
"92","5f9f366d30ae1a565a704ccc","but",433,847,1078,"T2.35","test","CVV",1,"J","PositivePositive","B","first","first",53,6.07073772800249
"93","5f9f366d30ae1a565a704ccc","and",639,695,1084,"T2.2","test","VCV",1,"J","PositivePositive","B","second","second",55,6.45990445437753
"94","5f9f366d30ae1a565a704ccc","so",605,519,661,"T2.58","test","VCV",1,"J","PositiveNegative","B","second","second",57,6.40522845803084
"95","5f9f366d30ae1a565a704ccc","and",574,577,1077,"T2.4","test","VCV",1,"F","PositiveNegative","B","second","second",58,6.35262939631957
"96","5f9f366d30ae1a565a704ccc","but",817,552,1157,"T2.39","test","VCC",1,"F","PositivePositive","B","second","second",60,6.70563909486
"97","5f9f366d30ae1a565a704ccc","so",601,800,789,"T2.68","test","CVV",1,"J","PositivePositive","B","second","second",61,6.39859493453521
"98","5f9f366d30ae1a565a704ccc","so",607,519,837,"T2.61","test","CVV",1,"F","PositiveNegative","B","second","second",64,6.4085287910595
"99","5f9f366d30ae1a565a704ccc","so",533,761,1590,"T2.59","test","CVV",1,"F","PositiveNegative","B","second","second",65,6.27852142416584
"100","5f9f366d30ae1a565a704ccc","so",617,760,1108,"T2.62","test","VCV",1,"F","PositivePositive","B","second","second",66,6.42486902390539
"101","5f9f366d30ae1a565a704ccc","but",870,759,2221,"T2.38","test","VCV",1,"F","PositiveNegative","B","second","second",68,6.76849321164863
"102","5f9f366d30ae1a565a704ccc","but",1106,656,2166,"T2.36","test","CVV",1,"J","PositivePositive","B","second","second",69,7.00850518208228
"103","5f9f366d30ae1a565a704ccc","so",713,671,2029,"T2.54","test","CVC",1,"F","PositiveNegative","B","second","second",70,6.5694814204143
"104","5f9f366d30ae1a565a704ccc","so",751,704,1020,"T2.57","test","CVC",1,"J","PositiveNegative","B","second","second",72,6.62140565176413
"105","5f9f366d30ae1a565a704ccc","but",739,847,1499,"T2.31","test","CVC",1,"F","PositivePositive","B","second","second",74,6.6052979209482
"106","5f9f366d30ae1a565a704ccc","and",662,815,676,"T2.16","test","CVV",1,"J","PositivePositive","B","second","second",75,6.49526555593701
"107","5f9f366d30ae1a565a704ccc","so",633,768,1205,"T2.52","test","CVC",1,"J","PositiveNegative","B","second","second",76,6.45047042214418
"108","5f9f366d30ae1a565a704ccc","but",640,560,1061,"T2.44","test","CVC",1,"F","PositiveNegative","B","second","second",77,6.46146817635372
"109","5f9f366d30ae1a565a704ccc","but",557,679,821,"T2.48","test","CVC",1,"F","PositiveNegative","B","second","second",78,6.32256523992728
"110","5f9f366d30ae1a565a704ccc","and",695,592,1117,"T2.5","test","CVV",1,"F","PositivePositive","B","second","second",79,6.54391184556479
"111","5f9f366d30ae1a565a704ccc","but",730,479,573,"T2.25","test","VCV",1,"J","PositiveNegative","B","second","second",82,6.59304453414244
"112","5f9f366d30ae1a565a704ccc","and",578,647,693,"T2.18","test","CVV",1,"F","PositivePositive","B","second","second",83,6.35957386867238
"113","5f9f366d30ae1a565a704ccc","and",1783,681,716,"T2.6","test","CVC",1,"F","PositivePositive","B","second","second",85,7.48605261786314
"114","5f9f366d30ae1a565a704ccc","but",543,688,678,"T2.47","test","CVV",1,"J","PositivePositive","B","second","second",86,6.29710931993394
"115","5f9f366d30ae1a565a704ccc","so",917,1305,2012,"T2.56","test","CVV",1,"F","PositivePositive","B","second","second",87,6.82110747225646
"116","5f9f366d30ae1a565a704ccc","but",793,695,693,"T2.41","test","CVC",1,"F","PositivePositive","B","second","second",88,6.67582322163485
"117","5f9f366d30ae1a565a704ccc","and",619,552,686,"T2.7","test","CVC",1,"J","PositivePositive","B","second","second",90,6.4281052726846
"118","5f9f366d30ae1a565a704ccc","so",776,919,860,"T2.66","test","VCC",1,"F","PositivePositive","B","second","second",91,6.65415252018322
"119","5f9f366d30ae1a565a704ccc","so",607,552,876,"T2.60","test","CVC",1,"F","PositiveNegative","B","second","second",93,6.4085287910595
"120","5f9f366d30ae1a565a704ccc","but",538,576,1253,"T2.37","test","CVV",1,"F","PositiveNegative","B","second","second",94,6.28785856016178
"121","5f9f366d30ae1a565a704ccc","so",575,1279,829,"T2.49","test","CVC",1,"F","PositivePositive","B","second","second",95,6.35437004079735
"122","5f9f366d30ae1a565a704ccc","and",1038,1352,861,"T2.24","test","CVC",1,"J","PositiveNegative","B","second","second",96,6.94505106372583
"123","5f9f366d30ae1a565a704ccc","and",760,552,1996,"T2.14","test","VCV",1,"F","PositiveNegative","B","second","second",97,6.63331843328038
"124","5f9f366d30ae1a565a704ccc","but",1133,488,1189,"T2.26","test","VCV",1,"J","PositiveNegative","B","second","second",99,7.03262426102801
"125","5f9f366d30ae1a565a704ccc","so",2194,1054,1469,"T2.70","test","CVV",1,"J","PositivePositive","B","second","second",103,7.69348164083518
"126","5f9f366d30ae1a565a704ccc","and",663,368,621,"T2.13","test","CVV",1,"J","PositivePositive","B","second","second",107,6.49677499018586
"127","5f9f366d30ae1a565a704ccc","but",824,800,1516,"T2.34","test","CVC",1,"J","PositiveNegative","B","second","second",108,6.71417052990947
"128","6116895015bbaf252b477024","and",1610,1046,1773,"T1.15","test","VCV",1,"F","PositivePositive","A","first","first",3,7.38398945797851
"129","6116895015bbaf252b477024","so",1680,1626,2225,"T1.52","test","CVC",1,"J","PositiveNegative","A","first","first",4,7.4265490723973
"130","6116895015bbaf252b477024","and",1010,1213,1622,"T1.24","test","VCC",1,"J","PositiveNegative","A","first","first",7,6.9177056098353
